year,affiliation,paper_count,region,country
2021,Pontificia Universidad Católica del Ecuador,2,Latin America,Ecuador
2021,Portland State University,1,United States,United States
2021,Princeton University,68,United States,United States
2021,Propheus,1,Other/Unknown,Unknown
2021,Prowler.io,2,Other/Unknown,Unknown
2021,Proxima Fusion,1,Other/Unknown,Unknown
2021,Purdue University,33,United States,United States
2021,Pázmány Péter Catholic University,1,Europe,Hungary
2021,Qualcomm,8,United States,United States
2021,"Queen Mary, University of London",7,Europe,United Kingdom
2021,Queensland University of Technology,6,Asia-Pacific (excl. China),Australia
2021,RAND Corporation,1,Other/Unknown,Unknown
2021,RIKEN,17,Asia-Pacific (excl. China),Japan
2021,RMIT International University Vietnam,5,Other/Unknown,Viet Nam
2021,RWTH Aachen University,4,Europe,Germany
2021,Radboud University,2,Europe,Netherlands
2021,Rakuten Institute of Technology,1,Asia-Pacific (excl. China),Japan
2021,Realm Labs,1,Other/Unknown,Unknown
2021,Red Sea University,2,Other/Unknown,Sudan
2021,Regent University College of Science and Technology,41,Middle East & Africa,Ghana
2021,RelationalAI,1,Other/Unknown,Unknown
2021,Renmin University of China,10,China,China
2021,Rensselaer Polytechnic Institute,8,United States,United States
2021,"Research, AT&T",3,Other/Unknown,Unknown
2021,Rheinische Friedrich-Wilhelms Universität Bonn,1,Europe,Germany
2021,Rice University,16,United States,United States
2021,Robert Morris University Illinois,1,United States,United States
2021,Roblox,2,Other/Unknown,Unknown
2021,Rochester Institute of Technology,3,United States,United States
2021,Rockfish,1,Other/Unknown,Unknown
2021,Royal Melbourne Institute of Technology,1,Asia-Pacific (excl. China),Australia
2021,Ruhr-Universität Bochum,2,Europe,Germany
2021,Ruprecht-Karls-Universität Heidelberg,1,Europe,Germany
2021,Rutgers University,16,United States,United States
2021,SKILD AI,2,Other/Unknown,Unknown
2021,Sakana AI,1,Other/Unknown,Unknown
2021,Salesforce Research,13,United States,United States
2021,Samaya AI,1,Other/Unknown,Unknown
2021,Samsung Research,20,Asia-Pacific (excl. China),South Korea
2021,Sapienza University of Rome,7,Europe,Italy
2021,Saudi Aramco,1,Other/Unknown,Unknown
2021,Scale AI,1,Other/Unknown,Unknown
2021,Seattle Colleges,18,United States,United States
2021,Seisen University,4,Asia-Pacific (excl. China),Japan
2021,SenseTime,5,China,China
2021,Seoul National University,26,Other/Unknown,"Korea, Republic of"
2021,ServiceNow,2,Other/Unknown,Unknown
2021,ServiceNow Inc,1,Other/Unknown,Unknown
2021,ServiceNow Research,3,Canada,Canada
2021,Shandong University,1,China,China
2021,Shanghai Ai Lab,2,China,China
2021,Shanghai Jiao Tong University,38,China,China
2021,Shanghai Jiaotong University,15,China,China
2021,Shanghai University of Finance and Economics,5,China,China
2021,ShanghaiTech University,1,China,China
2021,Sharif University of Technology,2,Middle East & Africa,Iran
2021,Shengwang,1,Other/Unknown,Unknown
2021,Shenzhen Institute of Advanced Technology,1,China,China
2021,Shenzhen University,8,China,China
2021,Sichuan Normal University,2,China,China
2021,Siemens,2,Other/Unknown,Unknown
